Polygon_ID,acq_date,frp,Neighbour
7234,2012-11-06,3.2,7233
7380,2012-11-06,5.1,7233
7381,2014-11-02,0.9,7233
7381,2012-11-06,3.2,7233
15290,2015-11-14,14.6,15437
15289,2015-11-17,0.5,15437
15289,2015-11-14,23.25,15437
15289,2015-11-16,2.0,15437
15289,2015-11-15,1.0,15437
17209,2014-03-04,3.1,17061
19289,2013-11-08,13.8,19141
20125,2015-11-24,2.8,19979
20127,2014-12-10,2.8,19979
25363,2014-07-30,6.9,25216
25364,2014-07-30,3.5,25216
26444,2013-04-23,30.1,26592
26748,2017-11-01,5.6,26602
26749,2017-11-01,8.9,26602
26750,2017-11-01,1.8,26602
26750,2018-10-24,7.5,26602
33734,2014-07-16,3.7,33878
33735,2014-07-16,1.6,33878
34019,2014-07-16,2.4000000000000004,33878
33879,2014-07-16,4.0,33878
35114,2017-06-20,0.5,35216
37906,2012-05-31,41.8,37907
37709,2012-07-11,7.0,37907
38113,2018-10-15,7.4,38114
37918,2017-09-22,6.0,38114
38741,2017-11-14,4.1,38543
38795,2016-04-18,17.7,38599
38795,2013-02-20,7.8,38599
38598,2016-04-18,14.350000000000001,38599
39062,2017-11-02,3.4000000000000004,39259
39298,2018-09-17,8.4,39299
39298,2016-10-08,3.1,39299
39298,2015-09-22,4.1,39299
39916,2015-04-09,1.7,39719
39718,2015-04-09,13.95,39719
39915,2015-04-09,10.2,39719
39675,2013-09-27,75.0,39871
39872,2013-09-27,0.8,39871
41572,2015-09-01,6.3,41375
42184,2015-11-07,1.9,41988
42655,2014-04-17,3.5,42852
43106,2013-09-16,5.2,42909
42910,2013-10-01,8.6,42909
43074,2018-12-11,3.0,43270
43845,2018-02-07,3.9,44043
45330,2016-02-13,8.0,45134
45133,2013-11-17,1.4,45134
47383,2012-04-04,4.9,47186
47382,2018-02-20,1.5,47186
47382,2012-12-13,1.7,47186
49159,2013-09-19,5.5,48963
52002,2018-10-30,6.8,52001
52199,2018-02-11,0.6,52001
52199,2018-10-30,6.8,52001
52198,2018-10-30,6.8,52001
52197,2018-10-30,7.1,52001
51805,2012-10-19,4.9,52001
52002,2018-10-30,6.8,52003
52200,2012-11-13,14.0,52003
52201,2013-10-05,90.8,52003
52199,2018-02-11,0.6,52003
52199,2018-10-30,6.8,52003
51807,2012-10-29,116.5,52003
52004,2013-10-05,90.8,52003
51805,2012-10-19,4.9,52003
52291,2012-06-23,2.4,52487
54202,2015-03-14,3.1,54399
54927,2016-11-04,5.5,54928
54732,2015-10-26,2.6,54928
55502,2012-02-03,2.4,55700
57213,2013-02-11,1.7,57016
57017,2013-02-11,4.3,57016
57015,2015-02-24,7.1,57016
57214,2013-02-11,1.7,57016
56820,2018-04-20,9.0,57016
57762,2016-06-16,2.4,57566
57762,2015-06-24,0.4,57566
57762,2016-10-07,1.2,57566
57764,2018-03-28,5.3,57566
57567,2018-03-28,7.75,57566
57606,2017-09-09,0.8,57802
57803,2017-09-08,32.3,57802
60502,2018-01-20,6.2,60501
60700,2018-01-20,3.0,60897
60701,2018-02-16,1.8,60897
60701,2018-01-20,3.0,60897
61598,2013-03-26,0.6,61597
64084,2015-07-27,8.9,64282
64478,2015-07-27,51.6,64282
65224,2017-12-20,5.5,65223
65421,2017-12-20,18.1,65223
65027,2015-03-01,4.9,65223
66037,2013-02-09,8.5,65840
67032,2013-11-07,3.1,66836
67029,2018-05-20,3.1,67028
69780,2014-04-28,3.9,69976
70393,2016-10-23,1.8,70591
73080,2016-04-18,8.75,72882
72713,2018-04-03,3.1,72910
76326,2017-11-01,11.4,76325
77760,2017-07-26,8.8,77564
84052,2016-09-19,9.4,84291
84054,2016-09-19,2.6,84291
84053,2016-09-19,12.85,84291
